"trajectory","subtrajectory","peakcomposition"
"1:1 2:1 3:1 2:2 3:3","A1B1/A1B1B2/A1B1B2B3/A1A2B2B3/A1A2A3B2B3B4","0.166666666666667 0.333333333333333 0.5"
"1:1 2:1 3:1 2:2 3:3","A1B1/A1A2B1/A1A2A3B1/A1A3B1B2/A1A2A3B1B2B3","0.166666666666667 0.333333333333333 0.5"
"1:1 2:1 3:1 2:2 3:3","A1B1/A1B1B2/A1B1B2B3/A1A2B1B2/A1A2A3B1B2B3","0.166666666666667 0.333333333333333 0.5"
"1:1 2:1 3:1 2:2 3:3","A1B1/A1A2B1/A1A2A3B1/A1A3B1B2/A1A3A4B1B2B3","0.166666666666667 0.333333333333333 0.5"
"1:1 2:1 3:1 2:2 3:3","A1B1/A1B1B2/A1B1B2B3/A1A2B1B3/A1A2A3B1B2B3","0.166666666666667 0.333333333333333 0.5"
"1:1 2:1 3:1 2:2 3:3","A1B1/A1A2B1/A1A2A3B1/A1A2B1B2/A1A2A3B1B2B3","0.166666666666667 0.333333333333333 0.5"
"1:1 2:1 3:1 2:2 3:3","A1B1/A1A2B1/A1A2A3B1/A2A3B1B2/A2A3A4B1B2B3","0.166666666666667 0.333333333333333 0.5"
"1:1 2:1 2:2 3:3","A1B1/A1A2B1/A1A2B1B2/A1A2A3B1B2B3","0.166666666666667 0.333333333333333 0.5"
"1:1 2:1 3:1 4:2 4:3 3:3","A1B1/A1A2B1/A1A2A3B1/A1A2A3A4B1B2/A1A2A3A4B1B2B3/A1A2A4B1B2B3","0.166666666666667 0.333333333333333 0.5"
"1:1 2:1 3:1 4:2 4:3 3:3","A1B1/A1A2B1/A1A2A3B1/A1A2A3A4B1B2/A1A2A3A4B1B2B3/A2A3A4B1B2B3","0.166666666666667 0.333333333333333 0.5"
"1:1 2:1 3:1 4:2 4:3 3:3","A1B1/A1A2B1/A1A2A3B1/A2A3A4A5B1B2/A2A3A4A5B1B2B3/A2A4A5B1B2B3","0.166666666666667 0.333333333333333 0.5"
"1:1 2:1 3:1 4:2 4:3 3:3","A1B1/A1B1B2/A1B1B2B3/A1A2B2B3B4B5/A1A2A3B2B3B4B5/A1A2A3B2B3B4","0.166666666666667 0.333333333333333 0.5"
"1:1 2:1 3:1 4:2 4:3 3:3","A1B1/A1B1B2/A1B1B2B3/A1A2B1B2B3B4/A1A2A3B1B2B3B4/A1A2A3B1B3B4","0.166666666666667 0.333333333333333 0.5"
"1:1 2:1 3:1 4:2 4:3 3:3","A1B1/A1B1B2/A1B1B2B3/A1A2B1B2B3B4/A1A2A3B1B2B3B4/A1A2A3B2B3B4","0.166666666666667 0.333333333333333 0.5"
